,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
208,astana,51.1801,71.446,57.2,58,0,8.95,KZ,1619410569
209,predivinsk,57.0669,93.4378,38.37,97,100,5.82,RU,1619410672
210,sirjan,29.452,55.6814,68.04,34,78,2.91,IR,1619410673
211,alexandria,31.2156,29.9553,62.6,72,40,13.8,EG,1619410612
212,leningradskiy,69.3833,178.4167,29.28,88,94,1.79,RU,1619410371
213,palu,-0.8917,119.8707,93.02,48,41,4.38,ID,1619410673
214,lavrentiya,65.5833,-171.0,32.97,92,97,0.56,RU,1619410601
215,bonavista,48.6499,-53.1147,37.99,75,13,5.75,CA,1619410674
216,east london,-33.0153,27.9116,66.2,52,0,5.75,ZA,1619410522
217,sabang,5.8933,95.3214,83.53,71,94,8.32,ID,1619410675
218,caravelas,-17.7125,-39.2481,74.73,86,2,6.26,BR,1619410675
219,mahmudia,45.0833,29.0833,45.0,70,75,6.91,RO,1619410675
220,chernenko,44.365,39.3103,46.4,98,100,2.59,RU,1619410676
221,caxito,-8.5785,13.6643,78.8,94,75,3.44,AO,1619410676
222,springfield,37.2153,-93.2982,62.6,55,1,19.57,US,1619410468
223,pustoshka,56.3355,29.369,32.58,93,99,6.82,RU,1619410677
224,wyndham,37.6985,-77.6125,50.0,87,1,5.68,US,1619410678
225,nunoa,-14.48,-70.6411,37.22,79,9,5.28,PE,1619410678
226,katobu,-4.9408,122.5276,89.96,48,44,3.69,ID,1619410678
227,sinazongwe,-17.2614,27.4618,67.75,81,70,5.01,ZM,1619410679
228,longyearbyen,78.2186,15.6401,14.0,67,20,1.14,SJ,1619410544
229,xai-xai,-25.0519,33.6442,68.49,91,26,3.2,MZ,1619410679
230,iqaluit,63.7506,-68.5145,32.0,93,90,3.44,CA,1619410497
231,noumea,-22.2763,166.4572,77.0,65,40,11.5,NC,1619410386
232,tabuk,17.4189,121.4443,86.54,48,40,6.58,PH,1619410666
233,jaque,7.5175,-78.1703,79.84,85,100,3.85,PA,1619410680
234,hami,42.8,93.45,51.48,10,54,4.41,CN,1619410681
235,portland,45.5234,-122.6762,53.6,66,75,4.61,US,1619410617
236,bethel,41.3712,-73.414,53.6,50,40,5.75,US,1619410385
237,victoria,22.2855,114.1577,75.0,78,100,3.0,HK,1619410501
238,komsomolskiy,40.4272,71.7189,73.4,25,2,2.3,UZ,1619410682
239,birao,10.2849,22.7882,73.53,71,99,2.8,CF,1619410652
240,cidreira,-30.1811,-50.2056,63.91,64,65,12.66,BR,1619410556
241,ilo,-17.6394,-71.3375,66.69,84,40,4.09,PE,1619410683
242,cayenne,4.9333,-52.3333,77.0,94,75,8.05,GF,1619410460
243,luderitz,-26.6481,15.1594,61.7,88,96,3.42,NA,1619410378
244,dugulubgey,43.6625,43.5369,50.0,87,90,2.24,RU,1619410684
245,nioro,13.35,-15.75,74.34,38,11,8.1,GM,1619410684
246,canon city,38.441,-105.2424,61.0,20,1,10.36,US,1619410685
247,bud,39.447,-86.1758,46.0,76,34,6.55,US,1619410629
248,ginir,7.1333,40.7,58.68,91,98,3.83,ET,1619410685
249,vila franca do campo,37.7167,-25.4333,57.2,88,75,11.5,PT,1619410551
250,ouadda,8.0777,22.4007,69.82,92,100,5.97,CF,1619410686
251,iralaya,15.0,-83.2333,78.94,72,12,10.65,HN,1619410622
252,huarmey,-10.0681,-78.1522,67.19,85,10,9.15,PE,1619410646
253,razdolinsk,58.4211,94.6658,39.27,77,92,6.67,RU,1619410687
254,esperance,-33.8667,121.9,84.2,21,36,14.97,AU,1619410499
255,yumen,40.2833,97.2,51.46,9,7,19.17,CN,1619410614
256,hay river,60.8156,-115.7999,19.4,93,100,8.05,CA,1619410688
257,chara,56.9064,118.2631,35.2,99,100,2.06,RU,1619410688
258,hobyo,5.3505,48.5268,84.15,61,89,8.43,SO,1619410688
259,takoradi,4.8845,-1.7554,79.5,86,100,5.28,GH,1619410689
260,hasaki,35.7333,140.8333,66.0,26,20,10.36,JP,1619410602
261,cotonou,6.3654,2.4183,84.2,79,40,8.05,BJ,1619410689
262,zemio,5.0314,25.1361,68.04,98,100,1.77,CF,1619410690
263,vila,42.0304,-8.1588,51.01,95,37,2.42,PT,1619410653
264,port lincoln,-34.7333,135.8667,66.36,62,3,8.05,AU,1619410542
265,richards bay,-28.783,32.0377,63.63,91,2,4.14,ZA,1619410467
266,kieta,-6.2167,155.6333,85.73,66,23,6.82,PG,1619410605
267,amboasary,-25.0333,46.3833,73.4,88,20,9.22,MG,1619410691
268,nishio,34.8667,137.05,64.4,27,20,6.91,JP,1619410580
269,kaeo,-35.1,173.7833,64.99,71,16,5.99,NZ,1619410414
270,puebloviejo,10.9938,-74.2844,84.2,70,75,5.75,CO,1619410692
271,bahia blanca,-38.7196,-62.2724,54.97,77,0,5.37,AR,1619410693
272,djougou,9.7085,1.666,78.8,78,0,4.61,BJ,1619410583
273,scarborough,54.2797,-0.4044,36.0,91,27,0.89,GB,1619410512
274,srednekolymsk,67.45,153.6833,26.58,66,12,8.79,RU,1619410619
275,dubbo,-32.25,148.6167,71.6,30,0,5.75,AU,1619410694
276,cardston,49.2,-113.3019,35.6,87,100,1.14,CA,1619410512
277,nizhneangarsk,55.7833,109.55,36.28,58,100,6.22,RU,1619410694
278,saint-philippe,-21.3585,55.7679,78.8,69,0,18.41,RE,1619410581
279,kidal,18.4411,1.4078,82.81,8,5,2.53,ML,1619410565
280,severo-yeniseyskiy,60.3725,93.0408,34.79,60,37,5.59,RU,1619410695
281,kemin,42.7846,75.6892,61.11,51,79,3.83,KG,1619410695
282,half moon bay,37.4636,-122.4286,51.8,93,20,3.44,US,1619410573
283,vestmannaeyjar,63.4427,-20.2734,44.49,82,2,7.38,IS,1619410696
284,tiznit,29.5833,-9.5,56.07,79,85,1.88,MA,1619410547
285,ostrovnoy,68.0531,39.5131,31.37,94,100,22.91,RU,1619410693
286,meget,52.415,104.0494,41.0,52,75,24.61,RU,1619410697
287,kargil,34.5667,76.1,36.59,30,0,1.16,IN,1619410697
288,bilibino,68.0546,166.4372,25.57,79,100,2.64,RU,1619410563
289,pacific grove,36.6177,-121.9166,53.6,76,75,3.44,US,1619410609
290,atlantic city,39.3643,-74.4229,54.0,66,40,5.75,US,1619410507
291,broome,42.2506,-75.833,37.99,69,90,17.27,US,1619410461
292,curuca,-0.7289,-47.8481,74.35,95,93,3.44,BR,1619410699
293,alofi,-19.0595,-169.9187,84.2,74,84,3.44,NU,1619410659
294,glendive,47.1053,-104.7125,48.2,57,90,6.11,US,1619410699
295,maiduguri,11.8464,13.1603,80.29,44,96,1.45,NG,1619410700
296,mukhen,48.1,136.1,55.09,25,38,6.04,RU,1619410700
297,vanderhoof,54.0166,-124.0198,39.7,44,5,2.48,CA,1619410513
298,romans-sur-isere,45.0464,5.0562,53.01,70,100,0.87,FR,1619410701
